type salida.txt | findstr /C:"NULL"Changed database context to 'WideWorldImporters'.
CategoriaCliente                                   NombreCliente                                                                                        MontoMasAlto                             MontoMasBajo                             MontoPromedio                           
-------------------------------------------------- ---------------------------------------------------------------------------------------------------- ---------------------------------------- ---------------------------------------- ----------------------------------------
NULL                                               NULL                                                                                                                                 36829.90                                     5.52                              2808.728399
Computer Store                                     NULL                                                                                                                                 24909.00                                    14.95                              2762.984629
Computer Store                                     Adriana Pena                                                                                                                         14539.45                                   100.05                              2660.429166
Computer Store                                     Agrita Abele                                                                                                                          5083.26                                   736.00                              2896.602222
Computer Store                                     Ajitaab Pakalapati                                                                                                                   15046.14                                   142.31                              2854.698015
Computer Store                                     Aleksandrs Riekstins                                                                                                                 21851.15                                    59.80                              2716.343453
Computer Store                                     Alinne Matos                                                                                                                         14406.63                                    74.75                              2551.217906
Computer Store                                     Alvin Bollinger                                                                                                                      14823.50                                    14.95                              2750.100793
Computer Store                                     Anindya Ghatak                                                                                                                       15781.45                                    67.16                              2926.039349
Computer Store                                     Anna Mazzanti                                                                                                                        13300.90                                   155.25                              3175.696372
Computer Store                                     Annette  Hetu                                                                                                                        18970.86                                    29.90                              2369.677294
Computer Store                                     Arijit Bhuiyan                                                                                                                       19985.85                                   104.42                              3294.318495
Computer Store                                     Bhagavateeprasaad Malladi                                                                                                            13679.25                                    89.70                              2974.792336
Computer Store                                     Bing Han                                                                                                                             17083.25                                   110.40                              2510.667431
Computer Store                                     Chompoo Atitarn                                                                                                                      14713.10                                   102.12                              2885.902363
Computer Store                                     Christian Couet                                                                                                                      16799.20                                   173.94                              3121.244444
Computer Store                                     Crina Grasu                                                                                                                          15819.40                                    14.95                              2868.065636
Computer Store                                     Daniella Cavalcante                                                                                                                  15449.10                                   102.12                              2597.467230
Computer Store                                     Darshana Madhunapantula                                                                                                              15691.75                                    57.50                              2706.343392
Computer Store                                     Dinh Mai                                                                                                                             20417.10                                    92.58                              3197.743543
Computer Store                                     Edgar Jogi                                                                                                                           13170.95                                    73.60                              2810.402786
Computer Store                                     Edmee Glissen                                                                                                                        15790.65                                    59.80                              2581.012480
Computer Store                                     Emil Roman                                                                                                                           12877.70                                    74.75                              2744.328476
Computer Store                                     Erik Malk                                                                                                                            21165.75                                   230.00                              4004.663913
Computer Store                                     Ganesh Majumdar                                                                                                                      15084.55                                   280.60                              2983.666666
Computer Store                                     Gayatri Gajula                                                                                                                       14488.85                                    96.49                              2743.943714
Computer Store                                     Gopalgobinda Sikdar                                                                                                                  15403.10                                    36.80                              2703.764666
Computer Store                                     Hai Banh                                                                                                                             14529.10                                   147.20                              3006.022467
Computer Store                                     Hoc Tran                                                                                                                             20992.10                                    36.80                              3780.182473
Computer Store                                     Isa Hulsegge                                                                                                                         17212.05                                    89.70                              2531.466708
Computer Store                                     Ivana Hadrabova                                                                                                                       6393.54                                   189.00                              2097.968888
Computer Store                                     Jackson Kolios                                                                                                                       12858.15                                    55.20                              2294.458108
Computer Store                                     Jasna Cerkez                                                                                                                         14092.79                                   125.24                              3018.017058
Computer Store                                     Jitka Necesana                                                                                                                       18018.20                                    89.47                              2750.941711
Computer Store                                     Joel Carrillo                                                                                                                        12339.50                                   184.00                              2939.451452
Computer Store                                     Kertu Sokk                                                                                                                           22722.85                                   161.86                              2560.643047
Computer Store                                     Knut Svensson                                                                                                                        18741.55                                   118.45                              2845.817815
Computer Store                                     Kristiina Ivanov                                                                                                                     16505.95                                   102.35                              2426.738431
Computer Store                                     Lakshmi Benipal                                                                                                                      16725.60                                    51.75                              2599.737920
Computer Store                                     Luis Saucedo                                                                                                                          8428.35                                    59.80                              2000.502608
Computer Store                                     Madhu Dwivedi                                                                                                                        14358.90                                    96.60                              2277.642241
Computer Store                                     Magdalena Michnova                                                                                                                   13702.25                                    88.55                              2910.897065
Computer Store                                     Mahavir Sonkar                                                                                                                       20568.90                                   204.24                              2842.364285
Computer Store                                     Manjunatha Karnik                                                                                                                    20021.04                                   277.16                              3008.132500
Computer Store                                     Mikhail Degtyarev                                                                                                                    15090.30                                   152.95                              2473.709417
Computer Store                                     Nadir Seddigh                                                                                                                        12475.20                                    57.50                              2291.305529
Computer Store                                     Nhung Thach                                                                                                                          14381.90                                   149.50                              2535.450227
Computer Store                                     Nils Kaulins                                                                                                                         24909.00                                   156.40                              2851.659368
Computer Store                                     Olya Izmaylov                                                                                                                        17566.02                                    59.80                              2856.068275
Computer Store                                     Santiago Vera                                                                                                                        10794.76                                    89.70                              2468.389369
Computer Store                                     Staffan Persson                                                                                                                      13073.20                                   104.65                              2206.704018
Computer Store                                     Stefan Selezeanu                                                                                                                     11877.20                                    98.90                              2883.443177
Computer Store                                     Volkan senturk                                                                                                                       22665.35                                    64.40                              2937.478348
Corporate                                          NULL                                                                                                                                 31489.30                                    29.90                              2802.892076
Corporate                                          Adrian Andreasson                                                                                                                    12889.20                                    89.70                              2905.951132
Corporate                                          Alena Kellnerova                                                                                                                     13460.75                                   171.35                              2637.561290
Corporate                                          Allan Mannik                                                                                                                         17598.45                                   150.65                              2494.641932
Corporate                                          Amet Shergill                                                                                                                         6656.20                                   252.71                              2153.410384
Corporate                                          Ana Florea                                                                                                                           17581.20                                    79.35                              3046.090183
Corporate                                          Anand Mudaliyar                                                                                                                       3225.98                                   864.80                              2081.557500
Corporate                                          Anca Gogean                                                                                                                          14541.98                                    66.70                              2303.206159
Corporate                                          Andris Saulitis                                                                                                                      13576.90                                    51.75                              2276.956274
Corporate                                          Be Trang                                                                                                                             11984.15                                    80.50                              2454.091885
Corporate                                          Bhaavan Rai                                                                                                                          20386.31                                    29.90                              2563.703888
Corporate                                          Can ozcan                                                                                                                            11615.00                                   134.61                              2352.329300
Corporate                                          Chaayaadaevi Sonti                                                                                                                   14550.95                                    29.90                              2881.438189
Corporate                                          Chandrashekhar Dasgupta                                                                                                              13376.80                                    88.55                              2779.074285
Corporate                                          Chin-Sun Chang                                                                                                                       21988.00                                    29.90                              3015.933684
Corporate                                          Cosmina Vlad                                                                                                                         12544.20                                   138.00                              2667.270625
Corporate                                          Daevasree Samavedam                                                                                                                  28494.47                                   102.12                              2806.784509
Corporate                                          David Jaramillo                                                                                                                      21071.16                                   149.50                              3081.480895
Corporate                                          Dhanishta Mokkapati                                                                                                                  16011.68                                    74.75                              2989.245454
Corporate                                          Emilie Hrdlickova                                                                                                                    19259.05                                   179.40                              2763.656842
Corporate                                          Emily Whittle                                                                                                                        23442.75                                   146.05                              2834.421801
Corporate                                          Eric Torres                                                                                                                          12608.60                                   103.50                              3025.787142
Corporate                                          Farzana Habibi                                                                                                                       13858.65                                   128.11                              2537.650487
Corporate                                          Gabriela Hernandes                                                                                                                   29776.95                                   170.20                              3166.241650
Corporate                                          Geza Roman                                                                                                                           19048.60                                    63.25                              2659.904848
Corporate                                          Irma Berzina                                                                                                                         22399.70                                   159.85                              3127.284245
Corporate                                          Jai Lamble                                                                                                                           16963.88                                    29.90                              2777.772000
Corporate                                          Jakub Lukes                                                                                                                          26392.50                                   149.50                              2955.072222
Corporate                                          Kalyani Benjaree                                                                                                                     25334.94                                    59.80                              3939.649230
Corporate                                          Kamala Nishad                                                                                                                        14869.50                                    74.75                              2866.674298
Corporate                                          Katerina Hadrabova                                                                                                                   14222.05                                    44.85                              2879.271531
Corporate                                          Marcela Lucescu                                                                                                                      19072.75                                   103.50                              2906.614205
Corporate                                          Marija Justina Pasek                                                                                                                 12171.60                                    89.70                              2481.019363
Corporate                                          Melani Ravlen                                                                                                                        21912.10                                   104.65                              2947.398585
Corporate                                          Miriam House                                                                                                                         13670.05                                   164.45                              3018.340744
Corporate                                          Nada Jovanovic                                                                                                                       16048.48                                   190.90                              2513.605504
Corporate                                          Nicolo Cattaneo                                                                                                                      16465.70                                    36.80                              2849.650927
Corporate                                          Olafs Rozitis                                                                                                                        23877.45                                    44.85                              2795.010652
Corporate                                          Pavel Bogdanov                                                                                                                       17431.70                                   119.60                              2626.488833
Corporate                                          Phoung Cu                                                                                                                            15188.97                                    44.85                              2484.825555
Corporate                                          Raj Verma                                                                                                                            31489.30                                   149.50                              3221.855192
Corporate                                          Richard Friar                                                                                                                        18712.80                                    87.40                              2659.529702
Corporate                                          Roko Ilic                                                                                                                            21102.27                                   197.80                              3020.165368
Corporate                                          Satish Mittal                                                                                                                        22957.45                                    57.50                              3313.094833
Corporate                                          Seo-yun Paik                                                                                                                         22505.50                                    66.70                              3450.050964
Corporate                                          Serdar ozden                                                                                                                         13653.72                                   124.20                              2562.452328
Corporate                                          Shyam Poddar                                                                                                                         22730.90                                   115.00                              3266.541150
Corporate                                          Urve Kasesalu                                                                                                                        20459.88                                    44.85                              2883.058888
Gift Store                                         NULL                                                                                                                                 36829.90                                    14.95                              2743.017841
Gift Store                                         Abhra Ganguly                                                                                                                        13537.80                                   119.60                              3335.142000
Gift Store                                         Bhaamini Palagummi                                                                                                                   12580.77                                   216.43                              2191.901020
Gift Store                                         Bijoya Thakur                                                                                                                        15331.80                                    73.60                              2520.240561
Gift Store                                         Biju Deb                                                                                                                             13991.82                                   133.40                              2981.454095
Gift Store                                         Camille Authier                                                                                                                      16595.65                                   156.40                              3387.443916
Gift Store                                         Caterina Pinto                                                                                                                       15669.90                                   140.30                              2625.604695
Gift Store                                         Clarissa Manfrin                                                                                                                     23057.50                                    83.95                              2679.580250
Gift Store                                         Cong Hoa                                                                                                                             36829.90                                   102.12                              3286.542500
Gift Store                                         Daakshaayaani Sankaramanchi                                                                                                          21288.80                                    95.45                              2836.665833
Gift Store                                         Damodara Trivedi                                                                                                                     13489.50                                    43.70                              2457.612000
Gift Store                                         David Novacek                                                                                                                        22256.53                                    59.80                              2735.312298
Gift Store                                         Dipti Shah                                                                                                                           10821.50                                    85.10                              2124.905263
Gift Store                                         Drishti Bose                                                                                                                         19958.25                                   106.20                              2534.336132
Gift Store                                         Ebru Erdogan                                                                                                                         15359.40                                    89.70                              2786.489897
Gift Store                                         Elina Kaleja                                                                                                                         22631.08                                    29.90                              2544.744191
